Modelo,Capa,Act. Kunzea,Act. Lepto,Dif. Media,Filtros K/L,Top Discriminativos
CNN_base_normal,Capa 1,0.0578,0.0541,0.0175,10:6,"7, 11, 8"
CNN_base_normal,Capa 2,0.0021,-0.0274,0.0357,27:5,"27, 8, 23"
CNN_base_normal,Capa 3,-0.2114,-0.0695,0.1454,6:58,"14, 19, 35"
CNN_base_aug,Capa 1,0.0492,0.0395,0.0169,10:6,"8, 3, 4"
CNN_base_aug,Capa 2,-0.0139,-0.0169,0.0247,15:17,"20, 15, 26"
CNN_base_aug,Capa 3,-0.1288,-0.0382,0.0930,5:59,"61, 6, 22"
CNN_variant1_normal,Capa 1,0.0013,0.0010,0.0076,12:20,"17, 9, 20"
CNN_variant1_normal,Capa 2,-1.3626,-1.1398,0.3154,12:52,"22, 1, 35"
CNN_variant1_normal,Capa 3,-0.5530,-0.3771,0.3041,32:96,"29, 95, 11"
CNN_variant1_aug,Capa 1,0.0048,0.0027,0.0089,14:18,"25, 19, 23"
CNN_variant1_aug,Capa 2,-2.2053,-1.8406,0.5046,7:57,"14, 48, 2"
CNN_variant1_aug,Capa 3,-0.5240,-0.2561,0.3041,8:120,"99, 63, 51"
CNN_variant2_normal,Capa 1,-0.0021,-0.0010,0.0112,6:10,"6, 8, 11"
CNN_variant2_normal,Capa 2,-0.0812,-0.0510,0.0810,11:21,"4, 31, 28"
CNN_variant2_normal,Capa 3,-0.0055,0.0381,0.1266,23:41,"45, 40, 63"
CNN_variant2_normal,Capa 4,-0.0314,-0.0095,0.0501,50:78,"40, 58, 14"
CNN_variant2_aug,Capa 1,-0.0040,-0.0020,0.0100,6:10,"6, 1, 13"
CNN_variant2_aug,Capa 2,0.0322,0.0353,0.0940,13:19,"14, 1, 6"
CNN_variant2_aug,Capa 3,-0.1731,-0.0558,0.2393,16:48,"29, 52, 43"
CNN_variant2_aug,Capa 4,-0.1461,-0.1042,0.0622,36:92,"68, 25, 62"
