Modelo,Fila,Columna,Valor,Favorece,Magnitud_Normalizada
NET1_normal,79,54,3.4918830394744873,Lepto,1.0
NET1_normal,79,52,3.343804359436035,Lepto,0.9575934593557471
NET1_normal,79,55,3.019552230834961,Lepto,0.8647346422259865
NET1_normal,74,26,3.01818585395813,Lepto,0.864343341354398
NET1_normal,79,53,2.956914186477661,Lepto,0.8467964571123389
NET1_normal,64,78,2.8692290782928467,Lepto,0.821685333058765
NET1_normal,25,72,2.825204372406006,Lepto,0.8090776066861582
NET1_normal,73,25,2.821455717086792,Lepto,0.8080040726425386
NET1_normal,75,27,2.7860395908355713,Lepto,0.7978616578334359
NET1_normal,74,25,2.644841194152832,Lepto,0.7574254819688545
NET1_normal,80,60,-2.358480453491211,Kunzea,1.0
NET1_normal,78,66,-2.2244277000427246,Kunzea,0.9431613888298075
NET1_normal,31,80,-1.9902467727661133,Kunzea,0.8438682499233738
NET1_normal,74,29,-1.954216480255127,Kunzea,0.8285913403956093
NET1_normal,78,49,-1.9344600439071655,Kunzea,0.8202145754668534
NET1_normal,22,68,-1.8878076076507568,Kunzea,0.8004338576799623
NET1_normal,20,66,-1.8719507455825806,Kunzea,0.793710519335265
NET1_normal,52,77,-1.8481935262680054,Kunzea,0.7836374151552377
NET1_normal,30,79,-1.8170133829116821,Kunzea,0.7704169776866261
NET1_normal,76,72,-1.8115639686584473,Kunzea,0.7681064161362142
